	Pinyin	Definition	Radical	Stroke count	HSK level	Frequency rank
健	jiàn	strong, robust, healthy; strength	人	10	3	979
借	jiè	borrow; lend; make pretext of	人	10	3	984
园	yuán	garden; park, orchard	囗	7	3	988
牙	yá	tooth, molars, teeth; serrated	牙	4	3	997
束	shù	bind, control, restrain; bale	木	7	3	998
练	liàn	to practice, drill, exercise, train	糸	8	3	1005
爷	yé	father, grandfather	父	6	3	1007
嘴	zuǐ	mouth, lips	口	16	3	1010
戏	xì	theatrical play, show	戈	6	3	1033
典	diǎn	law, canon; documentation; classic, scripture	八	8	3	1044
盘	pán	tray, plate, dish; examine	皿	11	3	1049
忘	wàng	forget; neglect; miss, omit	心	7	3	1056
赛	sài	compete, contend; contest, race	宀	14	3	1064
趣	qù		走	15	3	1065
迎	yíng	receive, welcome, greet	辵	7	3	1069
冰	bīng	ice; ice-cold	冫	6	3	1070
努	nǔ	to exert, strive, make an effort; to pout	力	7	3	1081
绿	lǜ	green; chlorine	糸	11	3	1088
街	jiē	street, road, thoroughfare	行	12	3	1101
灯	dēng	lantern, lamp	火	6	3	1115
夏	xià	summer; great, grand, big	夊	10	3	1126
秋	qiū	autumn, fall; year	禾	9	3	1151
末	mò	final, last, end; insignificant	木	5	3	1164
蓝	lán	blue; indigo plant; surname	艸	13	3	1190
烧	shāo	burn; bake; heat; roast	火	10	3	1201
哭	kū	weep, cry, wail	口	10	3	1210
冒	mào	risk, brave, dare	冂	9	3	1222
惯	guàn	habit, custom; habitually, usual	心	11	3	1226
鸟	niǎo	bird; KangXi radical 196	鳥	5	3	1263
季	jì	quarter of year; season; surname	子	8	3	1279
鼻	bí	nose; first; KangXi radical 209	鼻	14	3	1335
腿	tuǐ	legs, thighs	肉	13	3	1351
迟	chí	late, tardy; slow; delay	辵	7	3	1374
辆	liàng	numerary adjunct for vehicles	車	11	3	1375
净	jìng	clean, pure; cleanse	冫	8	3	1377
冬	dōng	winter, 11th lunar month	冫	5	3	1384
骑	qí	ride horseback; mount; cavalry	馬	11	3	1398
叔	shū		又	8	3	1422
爬	pá	crawl, creep; climb; scramble	爪	8	3	1426
扫	sǎo	sweep, clear away; exterminate	手	6	3	1435
箱	xiāng	case, box, chest, trunk	竹	15	3	1453
舒	shū	open up, unfold, stretch out; comfortable, easy	舌	12	3	1459
绩	jī	spin; achievements	糸	11	3	1547
饮	yǐn	drink; swallow; kind of drink	食	7	3	1569
朵	duǒ	cluster of flowers; earlobe	木	6	3	1571
鞋	xié	shoes, footwear in general	革	15	3	1638
邮	yóu	postal, mail; post office	邑	7	3	1652
邻	lín	neighbor; neighborhood	邑	7	3	1659
聪	cōng	intelligent, clever, bright	耳	15	3	1669
梯	tī	ladder, steps, stairs; lean	木	11	3	1672
瓶	píng	jug, pitcher, vase, jar, bottle	瓦	10	3	1703
疼	téng	aches, pains; be fond of; love	疒	10	3	1710
熊	xióng	a bear; brilliant; bright; surname	火	14	3	1741
帽	mào	hat, cap; cap-like tops	巾	12	3	1750
炼	liàn	smelt, refine; distill, condense	火	9	3	1763
搬	bān	transfer, move, remove, shift	手	13	3	1766
刷	shuā	brush; clean with brush, scrub	刀	8	3	1824
瘦	shòu	thin, emaciated, lean; meager	疒	14	3	1841
斤	jīn	a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69	斤	4	3	1866
胖	pàng	fat, obese; fatty	肉	9	3	1893
饿	è	hungry; greedy for; hunger	食	10	3	1911
聊	liáo	somewhat, slightly, at least	耳	11	3	1932
碗	wǎn	bowl, small dish	石	13	3	1939
渴	kě	thirsty, parched; yearn, pine	水	12	3	1972
饱	bǎo		食	8	3	1998
甜	tián	sweet, sweetness	甘	11	3	2020
矮	ǎi	short, dwarf; low	矢	13	3	2027
裤	kù	trousers, pants	衣	12	3	2090
衫	shān	shirt; robe; gown; jacket	衣	8	3	2153
伞	sǎn	umbrella, parasol, parachute	人	6	3	2202
姨	yí		女	9	3	2287
刮	guā	shave, pare off, scrape	刀	8	3	2350
糕	gāo	cakes, pastry	米	16	3	2413
裙	qún	skirt, apron, petticoat	衣	12	3	2431
衬	chèn	underwear; inner garments	衣	8	3	2502
锻	duàn	forge metal; temper, refine	金	14	3	2531
澡	zǎo	wash, bathe	水	16	3	2695
啤	pí	beer	口	11	3	2849
蕉	jiāo	banana; plantain	艸	15	3	3104
筷	kuài	chopsticks	竹	13	3	3110
