	Pinyin	Definition	Radical	Stroke count	HSK level	Frequency rank
语	yǔ	language, words; saying, expression	言	9	1	493
七	qī	seven	一	2	1	530
兴	xìng	thrive, prosper, flourish	八	6	1	531
星	xīng	a star, planet; any point of light	日	9	1	537
京	jīng	capital city	亠	8	1	566
米	mǐ	hulled or husked uncooked rice	米	6	1	575
客	kè	guest, traveller; customer	宀	9	1	583
友	yǒu	friend, companion; fraternity	又	4	1	594
钱	qián	money, currency, coins	金	10	1	603
热	rè	hot; heat; fever; restless; zeal	火	10	1	606
坐	zuò	sit; seat; ride, travel by	土	7	1	611
校	xiào	school; military field officer	木	10	1	633
脑	nǎo	brain	肉	10	1	646
谁	shuí	who? whom? whose? anyone?	言	10	1	648
哪	nǎ	which? where? how?	口	9	1	652
喜	xǐ	like, love, enjoy; joyful thing	口	12	1	668
习	xí	practice; flapping wings	冫	3	1	676
欢	huān	happy, pleased, glad; joy; enjoy	欠	6	1	685
冷	lěng	cold, cool; lonely	冫	7	1	700
汉	hàn	Chinese people; Chinese language	水	5	1	711
衣	yī	clothes, clothing; cover, skin	衣	6	1	725
妈	mā	mother, mama	女	6	1	750
读	dú	read, study; pronounce	言	10	1	752
买	mǎi	buy, purchase; bribe, persuade	大	6	1	758
岁	suì	year; age; harvest	山	6	1	772
块	kuài	piece, lump; dollar	土	7	1	793
姐	jiě	elder sister, young lady	女	8	1	830
亮	liàng	bright, brilliant, radiant, light	亠	9	1	840
朋	péng	friend, pal, acquaintance	月	8	1	882
谢	xiè	thank; decline	言	12	1	897
钟	zhōng	clock; bell	金	9	1	905
雨	yǔ	rain; rainy; KangXi radical 173	雨	8	1	928
饭	fàn	cooked rice; food, meal	食	7	1	935
睡	shuì	sleep, doze	目	13	1	964
喝	hē	drink; shout, call out	口	12	1	983
午	wǔ	noon; 7th terrestrial branch	十	4	1	1004
店	diàn	shop, store; inn, hotel	广	8	1	1041
爸	bà	father, papa	父	8	1	1050
桌	zhuō	table, desk, stand	木	10	1	1193
菜	cài	vegetables; dish, order; food	艸	11	1	1266
茶	chá	tea	艸	9	1	1272
狗	gǒu	dog, canis familiaris	犬	8	1	1281
杯	bēi	cup, glass	木	8	1	1396
租	zū	rent, lease; rental; tax	禾	10	1	1397
昨	zuó	yesterday; in former times, past	日	9	1	1475
漂	piào	float, drift; tossed about	水	14	1	1568
椅	yǐ	chair, seat	木	12	1	1663
猫	māo	cat	犬	11	1	1673
喂	wèi	interjection to call attention	口	12	1	1988
苹	píng	artemisia; duckweed; apple	艸	8	1	2478
为	wèi	do, handle, govern, act; be	丶	4	2	18
到	dào	go to, arrive, been to	刀	8	2	22
以	yǐ	by means of; thereby, therefore; consider as; in order to	人	4	2	23
要	yào	necessary, essential; necessity	襾	9	2	26
